year,position,artist,song,indicativerevenue,us,uk,de,fr,ca,au
"2000","1","Faith Hill","Breathe","24030.051","2","33","-","-","-","23"
"2000","2","Santana & The Product G","Maria Maria","23320.084","1","6","1","1","1","49"
"2000","3","Joe Thomas","I Wanna Know","21516.777","4","-","-","61","-","34"
"2000","4","Aaliyah","Try Again","21099.824","1","5","5","26","-","8"
"2000","5","Toni Braxton","He Wasn't Man Enough","21023.066","2","5","20","14","-","5"
"2000","6","Rob Thomas & Santana","Smooth","20735.418","1","3","21","15","-","5"
"2000","7","Vertical Horizon","Everything You Want","20402.965","1","42","-","-","-","24"
"2000","8","Destiny's Child","Say My Name","19489.657","1","3","14","10","-","1"
"2000","9","Lonestar","Amazed","19138.169","1","21","91","-","-","19"
"2000","10","Matchbox Twenty","Bent","18997.978","1","-","-","-","1","19"
"2000","11","Madonna","Music","18983.471","1","1","2","8","1","1"
"2000","12","Sisqo","Thong Song","18403.832","3","3","15","15","-","2"
"2000","13","Three Doors Down","Kryptonite","18341.509","3","-","85","-","-","47"
"2000","14","Destiny's Child","Jumpin' Jumpin'","18020.444","3","5","31","41","-","2"
"2000","15","Creed","Higher","17082.223","7","47","-","-","-","-"
"2000","16","Pink","There You Go","16517.970","7","6","65","-","-","2"
"2000","17","Sonique","It Feels So Good","16425.280","8","1","2","8","1","21"
"2000","18","Marc Anthony","You Sang To Me","16071.829","2","-","21","-","-","-"
"2000","19","Macy Gray","I Try","15615.636","5","13","16","29","-","1"
"2000","20","N Sync","Bye, Bye, Bye","15292.321","4","3","4","46","1","1"
"2000","21","Janet Jackson","Doesn't Really Matter","15074.193","1","5","23","40","-","28"
"2000","22","Nelly","(Hot S**t) Country Grammar","14859.853","7","7","22","-","-","38"
"2000","23","Creed","With Arms Wide Open","14754.656","1","-","-","-","-","-"
"2000","24","Savage Garden","I Knew I Loved You","14516.724","1","56","68","43","1","21"
"2000","25","N Sync","It's Gonna Be Me","14236.573","1","9","37","-","1","11"
"2000","26","Christina Aguilera","What A Girl Wants","14227.323","1","3","18","11","1","5"
"2000","27","Montell Jordan","Get It On Tonite","13780.222","4","15","21","28","-","-"
"2000","28","The Backstreet Boys","Show Me The Meaning Of Being Lonely","13694.713","6","3","3","-","1","19"
"2000","29","Sisqo","Incomplete","13684.593","1","13","57","-","-","-"
"2000","30","Eminem","The Real Slim Shady","13622.796","4","1","7","6","-","11"
"2000","31","Sting & Cheb Mami","Desert Rose","13412.469","17","15","7","6","-","-"
"2000","32","Britney Spears","Oops!... I Did It Again","13352.954","9","1","2","4","1","1"
"2000","33","Christina Aguilera","Come On Over Baby (All I Want Is You)","12961.533","1","8","23","33","-","9"
"2000","34","Enrique Iglesias","Be With You","12919.835","1","-","20","43","-","36"
"2000","35","Celine Dion","That's The Way It Is","12744.707","6","20","9","10","-","14"
"2000","36","Faith Hill","The Way You Love Me","12648.231","7","-","-","-","-","-"
"2000","37","Ruff Endz","No More","12405.965","5","11","-","-","-","-"
"2000","38","BBMak","Back Here","12118.763","13","-","-","-","-","47"
"2000","39","Nine Days","Absolutely (Story Of A Girl)","11901.115","6","-","-","-","-","31"
"2000","40","Bon Jovi","It's My Life","11712.600","33","3","2","14","-","5"
"2000","41","Marc Anthony","I Need To Know","11461.764","6","-","15","-","-","20"
"2000","42","Pink","Most Girls","11361.064","4","5","-","-","-","1"
"2000","43","blink-182","All The Small Things","11000.462","6","2","11","-","-","8"
"2000","44","Destiny's Child","Independent Woman","10851.895","1","1","10","26","-","3"
"2000","45","Brian McKnight","Back At One","10600.424","2","-","47","-","-","24"
"2000","46","Christina Aguilera","I Turn To You","10518.830","3","19","65","-","-","40"
"2000","47","Samantha Mumba","Gotta Tell You","9789.133","4","2","57","13","-","3"
"2000","48","Mya","Case Of The Ex (Whatcha Gonna Do)","9679.084","2","-","-","-","-","-"
"2000","49","Mariah Carey","Thank God I Found You","9583.049","1","10","28","28","-","27"
"2000","50","Mary Mary","Shackles (Praise You)","9519.617","28","5","25","13","-","2"
"2000","51","LeAnn Rimes","I Need You","9380.273","11","-","-","-","-","-"
"2000","52","Blaque","Bring It All To Me","9343.446","5","-","-","-","-","-"
"2000","53","Next","Wifey","9127.489","7","19","80","-","-","-"
